#{"t_start": 1750917042.064328, "env_id": "None"}
r,l,t
245.889065,37,10.303456
193.606673,47,22.750003
193.872428,35,32.107872
204.785097,68,50.14507
261.430325,30,58.092422
205.05683,54,72.06007
198.699295,36,81.822525
207.198791,29,89.356556
232.776345,46,101.737766
211.55653,40,112.026726
182.837947,23,118.044281
211.348687,22,124.091146
272.061714,41,134.723134
224.827987,66,152.505369
202.227036,35,161.657459
231.611787,33,170.41399
209.981747,18,175.237144
230.099375,16,179.438622
203.422527,34,188.415453
217.043738,59,204.672191
223.646264,65,221.687774
